orig_index,raw_name,disambiguated_entity,disambiguated_entity_id
456,arvind narayanan,arvind narayanan,2795448160
457,arvind venkat,arvind venkat,888333838
458,asa hutchinson,asa hutchinson,3068597594
459,asaf bitton,asaf bitton,2551134877
460,asawin suebsaeng,asawin suebsaeng,2300339768
461,asher hildebrand,asher hildebrand,2328131728
462,ashish jha,ashish jha,2715312316
463,ashleigh tuite,ashleigh tuite,4233239589
464,ashley arn,ashley arn,2093898123
465,ashley bautista,ashley bautista,912596076
466,ashley bloomfield,ashley bloomfield,1455171136
467,ashley hockycko,ashley hockycko,1828648660
468,ashoka mody,ashoka mody,4249071671
469,ashraf al qedra,ashraf al qedra,282202450
470,ashraf ghani,ashraf ghani,1794254811
471,ashwin vasan,ashwin vasan,1737749214
472,asif noor,asif noor,3009793542
473,asim shah,asim shah,547650954
474,asma adnane,asma adnane,4106795050
475,ateev mehrotra,ateev mehrotra,3640165418
476,atheendar venkataramani,atheendar venkataramani,868230348
477,atiya mosam,atiya mosam,2574812997
478,attila hertelendy,attila hertelendy,3923459908
479,atul gawande,atul gawande,4230787650
480,atul grover,atul grover,3345914688
481,atul kulkarni,atul kulkarni,1071499644
482,atul malhotra,atul malhotra,2394182220
483,aubree gordon,aubree gordon,3914995659
484,aubrey tabb,aubrey tabb,722712177
485,audiey kao,audiey kao,3938570649
488,austan goolsbee,austan goolsbee,1149153471
490,ava louise,ava louise,2065868453
491,avril benoit,avril benoit,3012002902
494,ayache,ayache,2523327858
495,ayatollah ali khamenei,ayatollah ali khamenei,2272858589
496,azadeh shirazi,azadeh shirazi,1616248632
497,azar,alex azar,4060563064
498,aziza ahmed,aziza ahmed,1014147322
499,azra ghani,azra ghani,1908189884
500,babafemi taiwo,babafemi taiwo,2868371301
501,bahar gholipour,bahar gholipour,2568682592
503,bala hota,bala hota,410457194
505,balram bhargava,balram bhargava,969624381
506,bao ping zhu,bao ping zhu,3615663778
507,barack obama,barack obama,1783817836
508,barbara dipietro,barbara dipietro,2479647643
509,barbara ferrer,barbara ferrer,623299733
510,barbara l horn,barbara l horn,1793350845
511,barbara lee,barbara lee,7992533
512,barbara meinke,barbara meinke,1874735120
514,barbara osborne,barbara osborne,1316856643
515,barbara sahakian,barbara sahakian,1991444159
516,barbara stengel,barbara stengel,1709469475
517,barbara yaffe,barbara yaffe,220663060
518,barney graham,barney graham,3093464920
519,barr,william barr,3304146263
520,barry bloom,barry bloom,3759468384
521,barry eichengreen,barry eichengreen,502605650
522,baruch fertel,baruch fertel,2572214010
523,baruch fischhoff,baruch fischhoff,1185591900
524,baruch lev,baruch lev,3064315937
525,barun mathema,barun mathema,255449513
527,bayard winthrop,bayard winthrop,1958629948
528,beatrice hahn,beatrice hahn,1386524766
529,beatriz perondi,beatriz perondi,1465418985
530,beck bennett,beck bennett,3614317430
531,becky kennedy,becky kennedy,3796026300
532,bela matyas,bela matyas,4161342534
535,ben carson,ben carson,3679914360
537,ben labrot,ben labrot,7885542
538,ben mcadams,ben mcadams,1423807850
539,ben musser,ben musser,2455332610
540,ben singer,benjamin singer,1685911220
541,ben waxman,ben waxman,2608373076
542,benhur lee,benhur lee,1446204986
543,benjamin bacon,benjamin bacon,1575621533
544,benjamin brunjes,benjamin brunjes,2900490042
545,benjamin chan,benjamin chapman,3078998060
546,benjamin chapman,benjamin chapman,3078998060
547,benjamin clark,benjamin clark,145988523
548,benjamin cowie,benjamin cowie,3941734528
549,benjamin cowling,benjamin cowling,1039971427
550,benjamin dalziel,benjamin dalziel,3988973964
551,benjamin f miller,benjamin f miller,3473262176
552,benjamin lopman,benjamin lopman,3381289008
553,benjamin neuman,benjamin neuman,1506516385
554,benjamin schwartz,benjamin schwartz,3038336689
555,benjamin singer,benjamin singer,1685911220
556,benjamin sommers,benjamin sommers,3107399526
557,benjamin tausig,benjamin tausig,2588967942
558,benjamin weston,benjamin weston,1327210476
559,benjamin wyler,benjamin wyler,2746967893
560,benjamin zipursky,benjamin zipursky,2194920941
561,bennie thompson,bennie thompson,1831932942
562,benny mathew,benny mathew,2988961266
563,benny peiser,benny peiser,3575455539
564,bernard camins,bernard camins,3833611053
565,bernard devalois,bernard devalois,457057255
566,bernard kouchner,bernard kouchner,3156157915
567,bernard olayo,bernard olayo,727871790
568,bernard wood,bernard wood,983669375
569,bernie sanders,bernie sanders,577290614
570,bessey e geevarghese,bessey e geevarghese,1738588393
571,beth davidow,beth davidow,2774846029
573,beth potter,beth potter,2871038704
574,beth seidenberg,beth seidenberg,473743228
575,bethan webber,bethan webber,1114115068
576,bethany rittle johnson,bethany rittle johnson,165811079
577,betsey stevenson,betsey stevenson,791964153
578,beverley adams groom,beverley adams groom,3167373770
579,bharat pankhania,bharat pankhankia,2725288959
580,bharat pankhankia,bharat pankhankia,2725288959
581,bhasha mukherjee,bhasha mukherjee,2651308147
582,bhramar mukherjee,bhramar mukherjee,2962571526
583,biden,jill biden,3824959764
584,bill,bill castellano,2404688903
585,bill barr,william barr,3304146263
586,bill bennett,bill bennett,3742010083
587,bill bowtell,bill bowtell,28333573
588,bill cassidy,bill cassidy,292507808
589,bill castellano,bill castellano,2404688903
590,bill clinton,bill clinton,3836368502
591,bill de blasio,bill de blasio,2120132946
592,bill english,bill english,731266758
593,bill gates,bill gates,922437454
594,bill hanage,bill hanage,857291179
595,bill hemmer,bill hemmer,1469836265
596,bill maher,bill maher,2428586617
597,bill morice,bill morice,517495797
598,bill robinson,bill robinson,2966465835
599,bill wuest,bill wuest,1653812784
600,billie eilish,billie eilish,1993894169
603,bloomberg,michael r bloomberg,255860002
605,bob chapek,bob chapek,2954218174
606,bob cooper,bob cooper,286162157
607,bob dannenhoffer,bob dannenhoffer,3871071644
608,bob egelko,bob egelko,2452404826
609,bob harrington,bob harrington,2042958261
610,bob iger,bob iger,2951847868
611,bob lahita,bob lahita,468849542
613,bob morris,bob morris,2519034869
614,bob phibbs,bob phibbs,2365205052
615,bob saynor,bob saynor,2256464832
616,bob shrum,bob shrum,68277358
617,bob wachter,bob wachter,388448204
618,bob watcher,bob wachter,388448204
619,bobby mukkamala,bobby mukkamala,1981871738
621,bonnie berkowitz,bonnie berkowitz,1752126330
622,bonnie henry,bonnie henry,3016715258
623,bonnie maldonado,bonnie maldonado,3236667388
624,boris johnson,boris johnson,1573690675
625,boris lushniak,boris lushniak,1919684255
627,bowale abimbola,bowale abimbola,3613422493
629,brad bell,brad bell,2124821261
630,brad carson,brad carson,4069096248
631,brad cornell,brad cornell,1949379115
632,brad younggren,brad younggren,894578079
633,bradley jensen murg,bradley jensen murg,3665454260
634,bradley riemann,bradley riemann,4177008487
635,bradley staats,bradley staats,2336892834
636,brandon brown,brandon brown,2751343780
637,brandon rottinghaus,brandon rottinghaus,1949782395
638,brendan crabb,brendan crabb,263225210
639,brendan murphy,brendan murphy,3036055166
640,brendan rynne,brendan rynne,944164688
641,brendan smialowski,brendan smialowski,3807773494
642,brendan wren,brendan wren,1221471271
643,brennan spiegel,brennan spiegel,2347050628
644,bret baier,bret baier,2983532680
645,bret bennington,bret bennington,1679064353
646,bret rudy,bret rudy,3522931218
647,bret stephens,bret stephens,1196737957
648,brett crozier,brett crozier,1602143
649,brett giroir,brett p giroir,4063668002
650,brett litz,brett litz,3107466200
651,brett oliver,brett oliver,4192581557
652,brett p giroir,brett p giroir,4063668002
653,brett sutton,brett sutton,1683566401
654,bria coates,bria coates,3986653851
655,brian bird,brian bird,1855516606
656,brian bossak,brian bossak,905440344
657,brian castrucci,brian castrucci,2571766584
658,brian conway,brian conway,1650060588
659,brian davis,brian davis,3785063845
660,brian donohoe,brian donohoe,3597775772
661,brian hainline,brian hainline,2926299413
662,brian kelly,brian kelly,2546171128
663,brian kemp,brian kemp,667154222
664,brian kilmeade,brian kilmeade,3150455234
665,brian klaas,brian klaas,2480398499
666,brian labus,brian labus,934244926
667,brian lee,brian lee,449777326
668,brian long,brian long,848761926
669,brian mehling,brian mehling,2360425428
670,brian monahan,brian monahan,1979111164
671,brian nichols,brian nichols,3888695873
672,brian schutte,brian schutte,4128604280
673,brian schwartz,brian schwartz,4206982748
674,brian stelter,brian stelter,861101420
675,brian williams,brian williams,4057778745
676,brianna keilar,brianna keilar,1778351700
677,brice de le vingne,brice de le vingne,734825090
678,brie williams,brie williams,3436665927
680,brit hume,brit hume,1879997830
681,brobson lutz,f brobson lutz jr,692042513
683,brooke baldwin,brooke baldwin,2924884089
684,brooke federico,brooke federico,3024526625
687,bruce a elleman,bruce a elleman,2433359140
688,bruce anderson,bruce anderson,3118583443
689,bruce aylward,bruce aylward,43133256
690,bruce bradbury,bruce bradbury,761023166
691,bruce chapman,bruce chapman,52652268
692,bruce dart,bruce dart,2751583444
693,bruce kleinschmidt,bruce kleinschmidt,2551365229
694,bruce liu,bruce liu,1594088641
695,bruce pyenson,bruce pyenson,3147321877
696,bruce ransom,bruce ransom,367393280
697,bruce ribner,bruce ribner,3854149222
698,bruce sachais,bruce sachais,3992866976
699,bruce schwartz,bruce schwartz,55130225
700,bruce y lee,bruce y lee,1937477640
701,bruno maffeis,bruno maffeis,487940267
702,bryan ashenbaum,bryan ashenbaum,4009558527
703,bryan hughes,bryan hughes,3784252835
704,bryce evans,bryce evans,2762602712
706,buhr,russell g buhr,1680479536
708,bukola oladunni salami,bukola oladunni salami,1432468826
710,burton bentley ii,burton bentley ii,3645878056
711,c jason wang,c jason wang,2692902259
712,c kerry fields,c kerry fields,16580496
713,c william hanson,c william hanson,2473445617
714,caesar djavaherian,caesar djavaherian,1488312952
717,caitlin m rivers,caitlin m rivers,3581998725
718,caitlin orpysko,caitlin orpysko,3028941437
719,calvin d sun,calvin d sun,8152228
720,calvin sun,calvin d sun,8152228
721,camara phyllis jones,camara phyllis jones,1536813370
722,cameron kaiser,cameron kaiser,2579048630
723,cameron webb,cameron webb,2011706887
724,camilla pashley,camilla pashley,273917422
725,camille locht,camille locht,2452473894
726,candy gunther brown,candy gunther brown,4154877119
728,cao bin,cao bin,3974752442
730,cara christ,cara christ,3998670306
731,caren campbell,caren campbell,3414368443
732,carina king,carina king,2379452224
733,carissa baker,carissa baker,2399369811
734,carl batt,carl batt,218302121
735,carl bergstrom,carl bergstrom,4268975347
736,carl chudnofsky,carl chudnofsky,157444855
